GROWP,SUBGROUP,CLASS,PROGRAM,NAME,DATA
3,3,1,2,Դատական ակտերի հարկադիր կատարումն ապահովող ծառայության պահպանում,2016
3,3,1,3,Վարչական օբյեկտների հիմնանորոգում,2016
3,3,1,4,ՀՀ սահմանադրական դատարանի պահուստային ֆոնդ,2016
3,3,1,5,ՀՀ դատարանների պահուստային ֆոնդ,2016
3,3,1,6,ՀՀ սահմանադրական դատարանի կարողությունների զարգացում,2016
3,3,1,7,ՀՀ դատարանների պահպանում,2016
3,3,1,8,ՀՀ դատարանների կարողությունների զարգացում,2016
3,3,1,9,Համաշխարհային բանկի աջակցությամբ իրականացվող Փաստաբանական դպրոցի վերապատրաստման կարողությունների զարգացման դրամաշնորհային ծրագիր,2016
3,3,1,40,Համաշխարհային բանկի աջակցությամբ  իրականացվող Դատաիրավական բարեփոխումների երկրորդ ծրագրի լրացուցիչ ֆինանսավորման ծրագիր,2016
3,3,2,0,Իրավական պաշտպանություն,2016
3,3,2,1,ՀՀ մարդու իրավունքների պաշտպանի աշխատակազմի պահպանման ծախսեր,2016
3,3,2,2,Հանրային պաշտպանի գրասենյակի պահպանում,2016
3,3,2,3,ՀՀ մարդու իրավունքների պաշտպանի աշխատակազմի կարողությունների զարգացում,2016
3,3,2,4,"Դատավարություններին ընդգրկված թարգմանիչների, փորձագետների եւ վկաների վարձատրություն",2016
3,3,2,5,Անվճարունակության գործերով կառավարիչներին իրենց մատուցած ծառայությունների դիմաց փոխհատուցում,2016
3,3,2,6,Մարդու իրավունքների պաշտպանին միջազգային եւ դոնոր կազմակերպությունների կողմից հատկացվող ֆինանսական աջակցություն,2016
3,4,0,0,Դատախազություն,2016
3,4,1,0,Դատախազություն,2016
3,4,1,1,ՀՀ դատախազության պահպանում,2016
3,4,1,2,ՀՀ դատախազության պահուստային ֆոնդ,2016
3,5,0,0,Կալանավայրեր,2016
3,5,1,0,Կալանավայրեր,2016
3,5,1,1,Քրեակատարողական համակարգի պահպանում,2016
3,5,1,2,«Էլեկտրոնային մոնիթորինգի սարքավորումների փորձարկում քրեակատարողական հիմնարկների պիլոտային ստորաբաժանումներում» դրամաշնորհային ծրագիր,2016
3,6,0,0,Հետազոտական ու նախագծային աշխատանքներ հասարակական կարգի եւ անվտանգության ոլորտում,2016
3,6,1,0,Հետազոտական ու նախագծային աշխատանքներ հասարակական կարգի եւ անվտանգության ոլորտում,2016
3,7,0,0,Նախաքննություն,2016
3,7,1,0,Նախաքննություն,2016
3,7,1,1,ՀՀ քննչական կոմիտեի պահպանում,2016
3,7,1,2, ՀՀ քննչական կոմիտեի պահուստային ֆոնդ,2016
3,7,1,3,ՀՀ հատուկ քննչական ծառայության պահպանում,2016
3,7,1,4,ՀՀ հատուկ քննչական ծառայության կարողությունների զարգացում,2016
3,7,1,5,ՀՀ հատուկ քննչական ծառայության պահուստային ֆոնդ,2016
3,8,1,0,Հասարակական կարգ եւ անվտանգություն (այլ դասերին չպատկանող),2016
4,0,0,0,ՏՆՏԵՍԱԿԱՆ ՀԱՐԱԲԵՐՈՒԹՅՈՒՆՆԵՐ,2016
4,1,0,0,"Ընդհանուր բնույթի տնտեսական, առեւտրային եւ աշխատանքի գծով հարաբերություններ",2016
4,1,1,0,Ընդհանուր բնույթի տնտեսական եւ առեւտրային  հարաբերություններ,2016
4,1,1,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2016
4,1,1,2,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում (նախարարությունների աշխատակազմերի  մասով)",2016
4,1,1,3,Ստանդարտների  մշակման ծառայություններ,2016
4,1,1,4,Արտասահմանում առեւտրային ներկայացուցչությունների պահպանում,2016
4,1,1,5,Հիդրոօդերեւութաբանական ծառայություններ,2016
4,1,1,6,Աջակցություն  ՓՄՁ սուբյեկտներին,2016
4,1,1,7,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  կարողությունների զարգացում",2016
4,1,1,8,Տեխնիկական կանոնակարգի պահանջների եւ չափագիտական կանոնների ու նորմերի պահպանման վերահսկողության պետական ծրագիր,2016
4,1,1,9,Պետական աջակցություն «ՀՀ հավատարմագրման համակարգի բարեփոխում եւ Հավաքագրման ազգային մարմնի կայացում» ծրագրին,2016
4,1,1,10,ՀՀ արտահանմանն ուղղված արդյունաբերական քաղաքականության ոազմավարությամբ նախատեսված միջոցառումների իրականացման պետական աջակցություն,2016
4,1,1,11,ՀՀ էկոնոմիկայի նախարարության ներքո գործող տեսչական բարեփոխումների քարտուղարության պետական աջակցության ծրագիր,2016
4,1,1,12,Որակի ենթակառուցվածքների բարեփոխում,2016
4,1,1,13,Հայաստանում ներդրումային  միջավայրի բարեփոխումների ծրագիր,2016
4,1,1,14,Տնտեսական հետազոտությունների կենտրոնի ստեղծում,2016
4,1,1,15,Պետական աջակցություն «Հայաստանի զարգացման հիմնադրամ» - ի կանոնադրական հիմնախնդիրների իրականացմանը,2016
4,1,1,16,ՀՀ էկոնոմիկայի նախարարության Շուկայի վերահսկողության տեսչական մարմին,2016
4,1,1,17,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում արտաբյուջետային միջոցների հաշվին",2016
4,1,1,40,Պետական աջակցություն «Հայաստանի ազգային  մրցունակության հիմնադրամ»-ի կանոնադրական հիմնախնդիրների իրականացմանը,2016
4,1,2,0,Աշխատանքի հետ կապված ընդհանուր բնույթի հարաբերություններ,2016
4,2,0,0,"Գյուղատնտեսություն, անտառային տնտեսություն, ձկնորսություն եւ որսորդություն",2016
4,2,1,0,Գյուղատնտեսություն,2016
4,2,1,1,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների  պահպանում",2016
4,2,1,2,"Գործադիր իշխանության, պետական կառավարման հանրապետական եւ տարածքային կառավարման մարմինների պահպանում (նախարարությունների աշխատակազմերի  մասով)",2016
4,2,1,3,Սերմերի որակի ստուգման   ու պետական սորտափորձարկման միջոցառումներ,2016
4,2,1,4,Բույսերի պաշտպանության միջոցառումներ,2016
4,2,1,5,Հողերի ագրոքիմիական հետազոտության եւ բերրիության բարձրացման միջոցառումներ,2016
4,2,1,6,Գյուղատնտեսական կենդանիների պատվաստում,2016
4,2,1,7,Գյուղական խորհրդատվական ծառայություններ,2016
