GRP,SUBGROUP,CLASS,PROGRAM,MINID,ITEM,PLAN,CHANGE,AMOUNT,CONTID,DATA
1,1,1,3,106002,4233,0,130000.0,130000.0,154,20221231
1,1,1,3,106002,4234,200000,0.0,166000.0,155,20221231
1,1,1,3,106002,4235,5500000,0.0,5500000.0,156,20221231
1,1,1,3,106002,4237,300000,0.0,300000.0,157,20221231
1,1,1,3,106002,4241,150000,-150000.0,0.0,158,20221231
1,1,1,3,106002,4252,1480000,0.0,1479935.0,159,20221231
1,1,1,3,106002,4261,300000,171000.0,471000.0,160,20221231
1,1,1,3,106002,4264,3300000,400000.0,3125682.3,161,20221231
1,1,1,3,106002,4267,350000,0.0,350000.0,162,20221231
1,1,1,3,106002,4729,30000000,0.0,30000000.0,163,20221231
1,1,1,3,106002,4822,257000,0.0,210283.0,164,20221231
1,1,1,3,106003,4111,323464900,-24200000.0,271749494.0,165,20221231
1,1,1,3,106003,4112,62215400,9200000.0,71415400.0,166,20221231
1,1,1,3,106003,4113,30203100,0.0,30203100.0,167,20221231
1,1,1,3,106003,4212,7799900,0.0,6810692.0,168,20221231
1,1,1,3,106003,4213,174900,0.0,68549.0,169,20221231
1,1,1,3,106003,4214,4477600,0.0,2940000.0,170,20221231
1,1,1,3,106003,4215,320000,0.0,161000.0,171,20221231
1,1,1,3,106003,4221,1000000,-700000.0,33500.0,172,20221231
1,1,1,3,106003,4232,2502000,0.0,1567000.0,173,20221231
1,1,1,3,106003,4233,0,250000.0,166000.0,174,20221231
1,1,1,3,106003,4234,270000,0.0,0.0,175,20221231
1,1,1,3,106003,4235,10000000,-250000.0,9060000.0,176,20221231
1,1,1,3,106003,4237,300000,0.0,299148.0,177,20221231
1,1,1,3,106003,4239,100000,0.0,0.0,178,20221231
1,1,1,3,106003,4241,200000,0.0,120785.0,179,20221231
1,1,1,3,106003,4252,1200000,0.0,1192000.0,180,20221231
1,1,1,3,106003,4261,1677000,0.0,1386650.0,181,20221231
1,1,1,3,106003,4264,6000000,0.0,5993000.0,182,20221231
1,1,1,3,106003,4267,438600,0.0,438600.0,183,20221231
1,1,1,3,106003,4727,0,1000000.0,1000000.0,184,20221231
1,1,1,3,106003,4729,30000000,-1000000.0,29000000.0,185,20221231
1,1,1,3,106003,4822,352000,0.0,156955.0,186,20221231
1,1,1,3,106004,4111,333042900,0.0,333042900.0,187,20221231
1,1,1,3,106004,4112,63103000,0.0,63103000.0,188,20221231
1,1,1,3,106004,4113,32052100,0.0,32052100.0,189,20221231
1,1,1,3,106004,4212,10850900,3768000.0,14079066.7,190,20221231
1,1,1,3,106004,4213,171300,210000.0,380526.8,191,20221231
1,1,1,3,106004,4214,5373300,-3070000.0,2225785.2,192,20221231
1,1,1,3,106004,4215,160000,0.0,77000.0,193,20221231
1,1,1,3,106004,4221,4438200,350000.0,3709200.0,194,20221231
1,1,1,3,106004,4232,2740000,0.0,2606600.0,195,20221231
1,1,1,3,106004,4233,0,792000.0,792000.0,196,20221231
1,1,1,3,106004,4234,200000,0.0,0.0,197,20221231
1,1,1,3,106004,4235,10000000,0.0,10000000.0,198,20221231
1,1,1,3,106004,4237,300000,800000.0,1064900.0,199,20221231
1,1,1,3,106004,4252,1195400,0.0,1117900.0,200,20221231
1,1,1,3,106004,4261,1677000,0.0,1676745.9,201,20221231
1,1,1,3,106004,4264,3856000,0.0,3840580.0,202,20221231
1,1,1,3,106004,4267,438600,0.0,438560.0,203,20221231
1,1,1,3,106004,4729,30000000,-2850000.0,27150000.0,204,20221231
1,1,1,3,106004,4822,466400,0.0,466400.0,205,20221231
1,1,1,3,106005,4111,466049800,-5200000.0,460849800.0,206,20221231
1,1,1,3,106005,4112,88612100,0.0,88612100.0,207,20221231
1,1,1,3,106005,4113,44545000,0.0,44545000.0,208,20221231
1,1,1,3,106005,4212,12571800,-1250000.0,10125230.7,209,20221231
1,1,1,3,106005,4213,259000,100000.0,304604.7,210,20221231
1,1,1,3,106005,4214,3360000,-1058794.0,1620816.0,211,20221231
1,1,1,3,106005,4215,160000,0.0,160000.0,212,20221231
1,1,1,3,106005,4221,8042000,-900000.0,7133200.0,213,20221231
1,1,1,3,106005,4232,2480000,0.0,2181000.0,214,20221231
1,1,1,3,106005,4233,0,484000.0,484000.0,215,20221231
1,1,1,3,106005,4234,200000,0.0,24200.0,216,20221231
1,1,1,3,106005,4235,14000000,0.0,12500000.0,217,20221231
1,1,1,3,106005,4237,300000,900000.0,1200000.0,218,20221231
1,1,1,3,106005,4239,100000,0.0,0.0,219,20221231
1,1,1,3,106005,4241,170000,0.0,169385.0,220,20221231
1,1,1,3,106005,4251,1000000,0.0,0.0,221,20221231
