CONTID,CONTRACT,FILENAME,FILENAMEBC
2099,338344001,39215223-Armavir.rar;39475541-Armaviri_BK.rar;40222555-Armaviri_BK_hamadzaynagir-1.pdf;41273109-Armaviri-BK-hamadzanagir.zip,41678551-220-15.pdf;41108207-0220-arcanagrutyun 222.pdf;41378044-0220-arcanagrutyun 222.pdf;40882103-0220-arcanagrutyun 222_signed.pdf;40655926-0220-arcanagrutyun 222.pdf;41780827-022016.pdf
2099,338418001,39222863-Shirak_kic_njuter.rar;41172809-0671.rar,41773948-222.pdf;41664248-222.pdf;40873055-0671-222_signed_signed.pdf;41367411-0671-222_signed_signed.pdf;41102290-0671-222_signed_signed.pdf
2099,338421001,39222871-Shirak_kic_njuter.rar;39351209-0015.rar;41172824-0015.rar,41774428-222.pdf;41664350-222.pdf;41368130-0015-222_signed.pdf;41101285-0015-222_signed.pdf;40882258-0015-222_signed.pdf
2099,338466001,39416404-S vayq.rar;39218663-vayoc dzor.zip;41237388-Signed-vayq dializ.zip;41370773-Signed-vayq dializ (1).zip,40861248-01650000-222.pdf;41368928-01650000-222.pdf;41113065-01650000-222.pdf;41703155-V222.pdf;41802659-V-222.pdf
2099,338490001,39214153-kic-faylter.rar;39386864-0001 Gr.Lusavorich.part1.rar;39386864-0001 Gr.Lusavorich.part2.rar;39386864-0001 Gr.Lusavorich.part3.rar;41285865-G.Lusavorich.rar,40743579-dializ-6-222_signed.pdf;41681043-222.pdf;40970917-0001-222.pdf;40462265-222.pdf;41149234-dializ-9 -222_signed.pdf;41387561-dializ-10-222_signed.pdf
2099,338498001,39214432-kic-faylter.rar;41285900-Armenia bk.rar,40749870-222_signed.pdf;40483693-222_signed.pdf;41164220-222_signed.pdf;41396480-222_signed.pdf;40971006-0059-222.pdf;41729445-222.pdf
2099,338502001,39214593-kic-faylter.rar;39444323-0076 Arabkir.part1.rar;39444323-0076 Arabkir.part2.rar;39444323-0076 Arabkir.part3.rar;39637891-Signed_Arabkir bh.zip;41285926-Arabkir bh.rar,40490033-222-040001.pdf;40760031-222-05.pdf;41741282-222.PDF;41282848-222.pdf;40971084-222-08.pdf;41173436-222.pdf
2099,338513001,39214711-kic-faylter.rar;39432319-0129 Erebuni.part1.rar;39432319-0129 Erebuni.part2.rar;39432319-0129 Erebuni.part3.rar;41311735-Erebuni.rar,41207975-222.pdf;41197385-222.pdf;41731414-222.pdf;40401783-0129-222.pdf
2099,338518001,39214874-kic-faylter.rar;39442597-0010 Astxik BK.part1.rar;39442597-0010 Astxik BK.part2.rar;39442597-0010 Astxik BK.part3.rar;41311683-Astxik.rar,41159920-222.pdf;41162837-arcanagrutyun_01.09.2017-30.09.2017-222.pdf;40480183-arcanagrutyun_01.05.2017-31.05.2017.pdf;41400969-arcanagrutyun_01.10.2017-31.10.2017   (1).pdf
2099,339289001,39216595-Lorikic17.rar;39436776-0449.rar;41269899-Signed-vanadzori bk.zip,41816000-222.pdf;40872927-222_signed_signed.pdf;41405932-222_signed.pdf;40665226-arcanagrutyun hemod-z_signed.pdf;41687153-222_s.pdf;41109831-arcanagrutyun hemodializ_signed.pdf
